query_id,method_label,actual_method
q1,Method A,kg_rag
q1,Method B,reranked_rag
q1,Method C,vector_rag
q10,Method A,reranked_rag
q10,Method B,vector_rag
q10,Method C,kg_rag
q11,Method A,kg_rag
q11,Method B,reranked_rag
q11,Method C,vector_rag
q12,Method A,vector_rag
q12,Method B,reranked_rag
q12,Method C,kg_rag
q13,Method A,vector_rag
q13,Method B,kg_rag
q13,Method C,reranked_rag
q14,Method A,kg_rag
q14,Method B,reranked_rag
q14,Method C,vector_rag
q15,Method A,kg_rag
q15,Method B,vector_rag
q15,Method C,reranked_rag
q16,Method A,reranked_rag
q16,Method B,vector_rag
q16,Method C,kg_rag
q17,Method A,vector_rag
q17,Method B,reranked_rag
q17,Method C,kg_rag
q18,Method A,vector_rag
q18,Method B,kg_rag
q18,Method C,reranked_rag
q19,Method A,vector_rag
q19,Method B,kg_rag
q19,Method C,reranked_rag
q2,Method A,vector_rag
q2,Method B,reranked_rag
q2,Method C,kg_rag
q20,Method A,reranked_rag
q20,Method B,kg_rag
q20,Method C,vector_rag
q21,Method A,kg_rag
q21,Method B,reranked_rag
q21,Method C,vector_rag
q22,Method A,kg_rag
q22,Method B,reranked_rag
q22,Method C,vector_rag
q23,Method A,reranked_rag
q23,Method B,kg_rag
q23,Method C,vector_rag
q24,Method A,reranked_rag
q24,Method B,vector_rag
q24,Method C,kg_rag
q25,Method A,reranked_rag
q25,Method B,kg_rag
q25,Method C,vector_rag
q26,Method A,kg_rag
q26,Method B,reranked_rag
q26,Method C,vector_rag
q27,Method A,kg_rag
q27,Method B,reranked_rag
q27,Method C,vector_rag
q28,Method A,vector_rag
q28,Method B,reranked_rag
q28,Method C,kg_rag
q29,Method A,reranked_rag
q29,Method B,vector_rag
q29,Method C,kg_rag
q3,Method A,kg_rag
q3,Method B,vector_rag
q3,Method C,reranked_rag
q30,Method A,reranked_rag
q30,Method B,vector_rag
q30,Method C,kg_rag
q31,Method A,reranked_rag
q31,Method B,kg_rag
q31,Method C,vector_rag
q32,Method A,vector_rag
q32,Method B,kg_rag
q32,Method C,reranked_rag
q33,Method A,reranked_rag
q33,Method B,vector_rag
q33,Method C,kg_rag
q34,Method A,vector_rag
q34,Method B,reranked_rag
q34,Method C,kg_rag
q35,Method A,vector_rag
q35,Method B,kg_rag
q35,Method C,reranked_rag
q36,Method A,kg_rag
q36,Method B,vector_rag
q36,Method C,reranked_rag
q37,Method A,vector_rag
q37,Method B,kg_rag
q37,Method C,reranked_rag
q38,Method A,reranked_rag
q38,Method B,vector_rag
q38,Method C,kg_rag
q39,Method A,reranked_rag
q39,Method B,vector_rag
q39,Method C,kg_rag
q4,Method A,kg_rag
q4,Method B,reranked_rag
q4,Method C,vector_rag
q40,Method A,kg_rag
q40,Method B,reranked_rag
q40,Method C,vector_rag
q41,Method A,reranked_rag
q41,Method B,vector_rag
q41,Method C,kg_rag
q42,Method A,kg_rag
q42,Method B,reranked_rag
q42,Method C,vector_rag
q43,Method A,kg_rag
q43,Method B,reranked_rag
q43,Method C,vector_rag
q44,Method A,vector_rag
q44,Method B,kg_rag
q44,Method C,reranked_rag
q45,Method A,reranked_rag
q45,Method B,vector_rag
q45,Method C,kg_rag
q46,Method A,vector_rag
q46,Method B,reranked_rag
q46,Method C,kg_rag
q47,Method A,kg_rag
q47,Method B,vector_rag
q47,Method C,reranked_rag
q48,Method A,kg_rag
q48,Method B,vector_rag
q48,Method C,reranked_rag
q49,Method A,reranked_rag
q49,Method B,kg_rag
q49,Method C,vector_rag
q5,Method A,vector_rag
q5,Method B,reranked_rag
q5,Method C,kg_rag
q50,Method A,kg_rag
q50,Method B,vector_rag
q50,Method C,reranked_rag
q6,Method A,kg_rag
q6,Method B,reranked_rag
q6,Method C,vector_rag
q7,Method A,vector_rag
q7,Method B,reranked_rag
q7,Method C,kg_rag
q8,Method A,kg_rag
q8,Method B,vector_rag
q8,Method C,reranked_rag
q9,Method A,kg_rag
q9,Method B,reranked_rag
q9,Method C,vector_rag
